m1,m2,km
M14,M25,38.7
M25,M14,38.7
M14,M26,27.5
M26,M14,27.5
M14,M27,7.1
M27,M14,7.1
M14,M28,24.4
M28,M14,24.4
M14,M29,18.7
M29,M14,18.7
M14,M30,14.8
M30,M14,14.8
M14,M31,25.1
M31,M14,25.1
M14,M32,3.2
M32,M14,3.2
M14,M33,12.8
M33,M14,12.8
M14,M34,17.4
M34,M14,17.4
M14,M35,28.9
M35,M14,28.9
M14,M36,38.4
M36,M14,38.4
M14,M37,34.3
M37,M14,34.3
M14,M38,32.1
M38,M14,32.1
M14,M39,37.6
M39,M14,37.6
M14,M40,24.0
M40,M14,24.0
M14,M41,35.8
M41,M14,35.8
M14,M42,15.8
M42,M14,15.8
M14,M43,20.4
M43,M14,20.4
M14,M44,24.2
M44,M14,24.2
M14,M45,12.4
M45,M14,12.4
M14,M46,17.0
M46,M14,17.0
M14,M47,4.4
M47,M14,4.4
M14,M48,24.2
M48,M14,24.2
M14,M49,35.6
M49,M14,35.6
M14,M50,29.6
M50,M14,29.6
M14,M51,36.0
M51,M14,36.0
M14,M52,36.5
M52,M14,36.5
M14,M53,40.5
M53,M14,40.5
M14,M54,22.9
M54,M14,22.9
M14,M55,18.6
M55,M14,18.6
M14,M56,9.9
M56,M14,9.9
M14,M57,32.0
M57,M14,32.0
M14,M58,12.7
M58,M14,12.7
M14,M59,29.0
M59,M14,29.0
M14,M60,39.8
M60,M14,39.8
M15,M16,36.3
M16,M15,36.3
M15,M17,12.7
M17,M15,12.7
M15,M18,43.2
M18,M15,43.2
M15,M19,19.0
M19,M15,19.0
M15,M20,18.8
M20,M15,18.8
M15,M21,29.0
M21,M15,29.0
M15,M22,18.2
M22,M15,18.2
M15,M23,3.5
M23,M15,3.5
M15,M24,23.0
M24,M15,23.0
M15,M25,21.7
M25,M15,21.7
M15,M26,32.7
M26,M15,32.7
M15,M27,10.9
M27,M15,10.9
M15,M28,7.0
M28,M15,7.0
M15,M29,17.0
M29,M15,17.0
M15,M30,15.6
M30,M15,15.6
M15,M31,16.3
M31,M15,16.3
M15,M32,14.8
M32,M15,14.8
M15,M33,13.9
M33,M15,13.9
M15,M34,16.6
M34,M15,16.6
M15,M35,18.2
M35,M15,18.2
M15,M36,22.0
M36,M15,22.0
M15,M37,17.4
M37,M15,17.4
M15,M38,15.3
M38,M15,15.3
M15,M39,32.4
M39,M15,32.4
M15,M40,28.8
M40,M15,28.8
M15,M41,20.0
M41,M15,20.0
M15,M42,3.3
M42,M15,3.3
M15,M43,3.2
M43,M15,3.2
M15,M44,6.8
M44,M15,6.8
M15,M45,16.1
M45,M15,16.1
M15,M46,3.8
M46,M15,3.8
M15,M47,16.0
M47,M15,16.0
M15,M48,6.7
M48,M15,6.7
M15,M49,47.7
M49,M15,47.7
M15,M50,19.0
M50,M15,19.0
M15,M51,20.2
M51,M15,20.2
M15,M52,47.9
M52,M15,47.9
M15,M53,23.0
M53,M15,23.0
M15,M54,29.8
M54,M15,29.8
M15,M55,3.7
M55,M15,3.7
M15,M56,8.6
M56,M15,8.6
M15,M57,15.2
M57,M15,15.2
M15,M58,17.3
M58,M15,17.3
M15,M59,18.2
M59,M15,18.2
M15,M60,53.1
M60,M15,53.1
M16,M17,37.0
M17,M16,37.0
M16,M18,7.1
M18,M16,7.1
M16,M19,18.9
M19,M16,18.9
M16,M20,35.7
M20,M16,35.7
M16,M21,63.8
M21,M16,63.8
M16,M22,42.5
M22,M16,42.5
M16,M23,36.6
M23,M16,36.6
M16,M24,21.8
M24,M16,21.8
M16,M25,28.1
M25,M16,28.1
M16,M26,68.5
M26,M16,68.5
M16,M27,39.5
M27,M16,39.5
M16,M28,32.4
M28,M16,32.4
M16,M29,53.2
M29,M16,53.2
M16,M30,51.3
M30,M16,51.3
M16,M31,20.8
M31,M16,20.8
M16,M32,42.2
M32,M16,42.2
M16,M33,49.2
M33,M16,49.2
M16,M34,52.7
M34,M16,52.7
M16,M35,18.1
M35,M16,18.1
M16,M36,25.2
M36,M16,25.2
M16,M37,41.7
M37,M16,41.7
M16,M38,27.7
M38,M16,27.7
M16,M39,67.4
M39,M16,67.4
M16,M40,64.6
M40,M16,64.6
M16,M41,23.2
M41,M16,23.2
M16,M42,34.6
M42,M16,34.6
M16,M43,33.9
M43,M16,33.9
M16,M44,32.9
M44,M16,32.9
M16,M45,51.1
M45,M16,51.1
M16,M46,40.0
M46,M16,40.0
M16,M47,40.8
M47,M16,40.8
M16,M48,36.0
M48,M16,36.0
M16,M49,80.7
M49,M16,80.7
M16,M50,17.3
M50,M16,17.3
M16,M51,22.9
M51,M16,22.9
M16,M52,81.4
M52,M16,81.4
M16,M53,38.9
M53,M16,38.9
M16,M54,65.0
M54,M16,65.0
M16,M55,32.7
M55,M16,32.7
M16,M56,37.3
M56,M16,37.3
M16,M57,41.0
M57,M16,41.0
M16,M58,52.1
M58,M16,52.1
M16,M59,18.1
M59,M16,18.1
M16,M60,85.0
M60,M16,85.0
M17,M18,43.2
M18,M17,43.2
M17,M19,18.2
M19,M17,18.2
M17,M20,30.8
M20,M17,30.8
M17,M21,27.9
M21,M17,27.9
M17,M22,6.6
M22,M17,6.6
M17,M23,16.2
M23,M17,16.2
M17,M24,31.0
M24,M17,31.0
M17,M25,31.9
M25,M17,31.9
M17,M26,33.6
M26,M17,33.6
M17,M27,3.6
M27,M17,3.6
M17,M28,18.3
M28,M17,18.3
M17,M29,21.3
M29,M17,21.3
M17,M30,18.0
M30,M17,18.0
M17,M31,16.9
M31,M17,16.9
M17,M32,5.2
M32,M17,5.2
M17,M33,15.6
M33,M17,15.6
M17,M34,20.3
M34,M17,20.3
M17,M35,20.7
M35,M17,20.7
M17,M36,31.2
M36,M17,31.2
M17,M37,30.1
M37,M17,30.1
M17,M38,25.3
M38,M17,25.3
M17,M39,40.0
M39,M17,40.0
M17,M40,29.8
M40,M17,29.8
M17,M41,28.4
M41,M17,28.4
M17,M42,9.8
M42,M17,9.8
M17,M43,14.7
M43,M17,14.7
M17,M44,18.3
M44,M17,18.3
M17,M45,16.5
M45,M17,16.5
M17,M46,13.8
M46,M17,13.8
M17,M47,4.4
M47,M17,4.4
M17,M48,19.2
M48,M17,19.2
M17,M49,43.7
M49,M17,43.7
M17,M50,21.3
M50,M17,21.3
M17,M51,28.6
M51,M17,28.6
M17,M52,44.5
M52,M17,44.5
M17,M53,35.3
M53,M17,35.3
M17,M54,29.4
M54,M17,29.4
M17,M55,12.2
M55,M17,12.2
M17,M56,4.3
M56,M17,4.3
M17,M57,27.9
M57,M17,27.9
M17,M58,17.2
M58,M17,17.2
M17,M59,20.8
M59,M17,20.8
M17,M60,48.0
M60,M17,48.0
M18,M19,25.3
M19,M18,25.3
M18,M20,42.4
M20,M18,42.4
M18,M21,70.4
M21,M18,70.4
M18,M22,48.4
M22,M18,48.4
M18,M23,43.6
M23,M18,43.6
M18,M24,28.3
M24,M18,28.3
M18,M25,34.6
M25,M18,34.6
M18,M26,75.2
M26,M18,75.2
M18,M27,45.8
M27,M18,45.8
M18,M28,39.4
M28,M18,39.4
M18,M29,60.1
M29,M18,60.1
M18,M30,58.1
M30,M18,58.1
M18,M31,27.5
M31,M18,27.5
M18,M32,48.4
M32,M18,48.4
M18,M33,56.0
M33,M18,56.0
M18,M34,59.5
M34,M18,59.5
M18,M35,25.1
M35,M18,25.1
M18,M36,31.7
M36,M18,31.7
M18,M37,48.6
M37,M18,48.6
M18,M38,34.7
M38,M18,34.7
M18,M39,74.5
M39,M18,74.5
M18,M40,71.3
M40,M18,71.3
M18,M41,30.0
M41,M18,30.0
M18,M42,41.4
M42,M18,41.4
M18,M43,41.0
M43,M18,41.0
M18,M44,39.9
M44,M18,39.9
M18,M45,57.7
M45,M18,57.7
M18,M46,47.0
M46,M18,47.0
M18,M47,46.8
M47,M18,46.8
M18,M48,43.1
M48,M18,43.1
M18,M49,86.8
M49,M18,86.8
M18,M50,24.2
M50,M18,24.2
M18,M51,29.7
M51,M18,29.7
M18,M52,87.7
M52,M18,87.7
M18,M53,45.5
M53,M18,45.5
M18,M54,71.6
M54,M18,71.6
M18,M55,39.6
M55,M18,39.6
M18,M56,43.8
M56,M18,43.8
M18,M57,48.0
M57,M18,48.0
M18,M58,58.8
M58,M18,58.8
M18,M59,25.0
M59,M18,25.0
M18,M60,91.0
M60,M18,91.0
M19,M20,26.6
M20,M19,26.6
M19,M21,45.1
M21,M19,45.1
M19,M22,24.0
M22,M19,24.0
M19,M23,20.4
M23,M19,20.4
M19,M24,18.5
M24,M19,18.5
M19,M25,22.7
M25,M19,22.7
M19,M26,50.0
M26,M19,50.0
M19,M27,20.6
M27,M19,20.6
M19,M28,17.6
M28,M19,17.6
M19,M29,35.3
M29,M19,35.3
M19,M30,33.0
M30,M19,33.0
M19,M31,2.9
M31,M19,2.9
M19,M32,23.4
M32,M19,23.4
M19,M33,30.8
M33,M19,30.8
M19,M34,34.6
M34,M19,34.6
M19,M35,5.1
M35,M19,5.1
M19,M36,20.6
M36,M19,20.6
M19,M37,30.2
M37,M19,30.2
M19,M38,17.9
M38,M19,17.9
M19,M39,51.3
M39,M19,51.3
M19,M40,46.1
M40,M19,46.1
M19,M41,17.2
M41,M19,17.2
M19,M42,16.6
M42,M19,16.6
M19,M43,17.5
M43,M19,17.5
M19,M44,18.0
M44,M19,18.0
M19,M45,32.5
M45,M19,32.5
M19,M46,22.7
M46,M19,22.7
M19,M47,22.1
M47,M19,22.1
M19,M48,21.1
M48,M19,21.1
M19,M49,61.8
M49,M19,61.8
M19,M50,5.1
M50,M19,5.1
M19,M51,17.2
M51,M19,17.2
M19,M52,62.5
M52,M19,62.5
M19,M53,31.1
M53,M19,31.1
M19,M54,46.3
M54,M19,46.3
M19,M55,15.4
M55,M19,15.4
M19,M56,18.5
M56,M19,18.5
M19,M57,28.7
M57,M19,28.7
M19,M58,33.5
M58,M19,33.5
M19,M59,5.2
M59,M19,5.2
M19,M60,66.2
M60,M19,66.2
M20,M21,43.6
M21,M20,43.6
M20,M22,36.8
M22,M20,36.8
M20,M23,15.5
M23,M20,15.5
M20,M24,14.3
M24,M20,14.3
M20,M25,8.4
M25,M20,8.4
M20,M26,45.3
M26,M20,45.3
M20,M27,29.6
M27,M20,29.6
M20,M28,12.5
M28,M20,12.5
M20,M29,29.8
M29,M20,29.8
M20,M30,30.6
M30,M20,30.6
M20,M31,24.1
M31,M20,24.1
M20,M32,33.6
M32,M20,33.6
M20,M33,29.9
M33,M20,29.9
M20,M34,30.1
M34,M20,30.1
M20,M35,22.3
M35,M20,22.3
M20,M36,11.0
M36,M20,11.0
M20,M37,7.2
M37,M20,7.2
M20,M38,8.8
M38,M20,8.8
M20,M39,36.1
M39,M20,36.1
M20,M40,41.9
M40,M20,41.9
M20,M41,12.5
M41,M20,12.5
M20,M42,21.0
M42,M20,21.0
M20,M43,16.1
M43,M20,16.1
M20,M44,12.5
M44,M20,12.5
M20,M45,32.2
M45,M20,32.2
M20,M46,20.0
M46,M20,20.0
M20,M47,34.5
M47,M20,34.5
M20,M48,12.2
M48,M20,12.2
M20,M49,63.2
M49,M20,63.2
M20,M50,22.8
M50,M20,22.8
M20,M51,12.7
M51,M20,12.7
M20,M52,62.9
M52,M20,62.9
M20,M53,4.7
M53,M20,4.7
M20,M54,43.9
M54,M20,43.9
M20,M55,18.6
M55,M20,18.6
M20,M56,27.1
M56,M20,27.1
M20,M57,7.8
M57,M20,7.8
M20,M58,33.3
M58,M20,33.3
M20,M59,22.2
M59,M20,22.2
M20,M60,69.1
M60,M20,69.1
M21,M22,25.0
M22,M21,25.0
M21,M23,30.4
M23,M21,30.4
M21,M24,51.7
M24,M21,51.7
M21,M25,49.4
M25,M21,49.4
M21,M26,6.6
M26,M21,6.6
M21,M27,24.8
M27,M21,24.8
M21,M28,35.3
M28,M21,35.3
M21,M29,13.9
M29,M21,13.9
M21,M30,13.5
M30,M21,13.5
M21,M31,43.0
M31,M21,43.0
M21,M32,23.2
M32,M21,23.2
M21,M33,15.1
M33,M21,15.1
M21,M34,13.5
M34,M21,13.5
M21,M35,46.0
M35,M21,46.0
M21,M36,50.2
M36,M21,50.2
M21,M37,38.3
M37,M21,38.3
M21,M38,43.6
M38,M21,43.6
M21,M39,24.0
M39,M21,24.0
M21,M40,4.5
M40,M21,4.5
M21,M41,48.7
M41,M21,48.7
M21,M42,29.7
M42,M21,29.7
M21,M43,32.0
M43,M21,32.0
M21,M44,35.0
M44,M21,35.0
M21,M45,12.9
M45,M21,12.9
M21,M46,25.7
M46,M21,25.7
M21,M47,25.5
M47,M21,25.5
M21,M48,32.9
M48,M21,32.9
M21,M49,19.6
M49,M21,19.6
M21,M50,46.8
M50,M21,46.8
M21,M51,49.0
M51,M21,49.0
M21,M52,19.3
M52,M21,19.3
M21,M53,46.2
M53,M21,46.2
M21,M54,1.8
M54,M21,1.8
M21,M55,32.1
M55,M21,32.1
M21,M56,26.6
M56,M21,26.6
M21,M57,36.5
M57,M21,36.5
M21,M58,11.8
M58,M21,11.8
M21,M59,46.1
M59,M21,46.1
M21,M60,25.7
M60,M21,25.7
M22,M23,21.7
M23,M22,21.7
M22,M24,37.6
M24,M22,37.6
M22,M25,38.3
M25,M22,38.3
M22,M26,31.2
M26,M22,31.2
M22,M27,7.3
M27,M22,7.3
M22,M28,24.4
M28,M22,24.4
M22,M29,21.9
M29,M22,21.9
M22,M30,18.2
M30,M22,18.2
M22,M31,23.0
M31,M22,23.0
M22,M32,3.8
M32,M22,3.8
M22,M33,16.0
M33,M22,16.0
M22,M34,20.7
M34,M22,20.7
M22,M35,27.0
M35,M22,27.0
M22,M36,37.8
M36,M22,37.8
M22,M37,35.4
M37,M22,35.4
M22,M38,31.7
M38,M22,31.7
M22,M39,40.9
M39,M22,40.9
M22,M40,27.7
M40,M22,27.7
M22,M41,34.9
M41,M22,34.9
M22,M42,15.8
M42,M22,15.8
M22,M43,20.7
M43,M22,20.7
M22,M44,24.4
M44,M22,24.4
M22,M45,15.9
M45,M22,15.9
M22,M46,18.3
M46,M22,18.3
M22,M47,2.3
M47,M22,2.3
M22,M48,24.8
M48,M22,24.8
M22,M49,38.7
M49,M22,38.7
M22,M50,27.6
M50,M22,27.6
M22,M51,35.1
M51,M22,35.1
M22,M52,39.8
M52,M22,39.8
M22,M53,41.1
M53,M22,41.1
M22,M54,26.6
M54,M22,26.6
M22,M55,18.4
M55,M22,18.4
M22,M56,9.7
M56,M22,9.7
M22,M57,33.2
M57,M22,33.2
M22,M58,16.3
M58,M22,16.3
M22,M59,27.1
M59,M22,27.1
M22,M60,42.6
M60,M22,42.6
M23,M24,21.3
M24,M23,21.3
M23,M25,19.3
M25,M23,19.3
M23,M26,33.6
M26,M23,33.6
M23,M27,14.4
M27,M23,14.4
M23,M28,4.9
M28,M23,4.9
M23,M29,17.5
M29,M23,17.5
M23,M30,16.9
M30,M23,16.9
M23,M31,17.6
M31,M23,17.6
M23,M32,18.2
M32,M23,18.2
M23,M33,15.6
M33,M23,15.6
M23,M34,17.4
M34,M23,17.4
M23,M35,18.7
M35,M23,18.7
M23,M36,19.9
M36,M23,19.9
M23,M37,13.9
M37,M23,13.9
M23,M38,13.2
M38,M23,13.2
M23,M39,31.1
M39,M23,31.1
M23,M40,29.8
M40,M23,29.8
M23,M41,18.3
M41,M23,18.3
M23,M42,6.6
M42,M23,6.6
M23,M43,2.9
M43,M23,2.9
M23,M44,4.5
M44,M23,4.5
M23,M45,17.9
M45,M23,17.9
M23,M46,4.9
M46,M23,4.9
M23,M47,19.5
M47,M23,19.5
M23,M48,3.3
M48,M23,3.3
M23,M49,49.6
M49,M23,49.6
M23,M50,19.5
M50,M23,19.5
M23,M51,18.6
M51,M23,18.6
M23,M52,49.6
M52,M23,49.6
M23,M53,19.6
M53,M23,19.6
M23,M54,31.1
M54,M23,31.1
M23,M55,5.5
M55,M23,5.5
M23,M56,12.1
M56,M23,12.1
M23,M57,11.7
M57,M23,11.7
M23,M58,19.1
M58,M23,19.1
M23,M59,18.8
M59,M23,18.8
M23,M60,55.2
M60,M23,55.2
M24,M25,6.3
M25,M24,6.3
M24,M26,54.8
M26,M24,54.8
M24,M27,31.5
M27,M24,31.5
M24,M28,16.4
M28,M24,16.4
M24,M29,38.7
M29,M24,38.7
M24,M30,38.2
M30,M24,38.2
M24,M31,17.1
M31,M24,17.1
M24,M32,35.4
M32,M24,35.4
M24,M33,36.8
M33,M24,36.8
M24,M34,38.7
M34,M24,38.7
M24,M35,13.4
M35,M24,13.4
M24,M36,3.4
M36,M24,3.4
M24,M37,21.0
M37,M24,21.0
M24,M38,8.4
M38,M24,8.4
M24,M39,49.0
M39,M24,49.0
M24,M40,51.1
M40,M24,51.1
M24,M41,3.0
M41,M24,3.0
M24,M42,23.3
M42,M24,23.3
M24,M43,19.8
M43,M24,19.8
M24,M44,16.8
M44,M24,16.8
M24,M45,39.0
M45,M24,39.0
M24,M46,26.1
M46,M24,26.1
M24,M47,35.4
M47,M24,35.4
M24,M48,19.1
M48,M24,19.1
M24,M49,70.7
M49,M24,70.7
M24,M50,13.5
M50,M24,13.5
M24,M51,2.7
M51,M24,2.7
M24,M52,70.8
M52,M24,70.8
M24,M53,17.2
M53,M24,17.2
M24,M54,52.4
M54,M24,52.4
M24,M55,20.5
M55,M24,20.5
M24,M56,28.8
M56,M24,28.8
M24,M57,20.8
M57,M24,20.8
M24,M58,40.2
M58,M24,40.2
M24,M59,13.4
M59,M24,13.4
M24,M60,76.1
M60,M24,76.1
M25,M26,51.8
M26,M25,51.8
M25,M27,31.7
M27,M25,31.7
M25,M28,14.7
M28,M25,14.7
M25,M29,35.8
M29,M25,35.8
M25,M30,35.9
M30,M25,35.9
M25,M31,20.7
M31,M25,20.7
M25,M32,35.7
M32,M25,35.7
M25,M33,34.8
M33,M25,34.8
M25,M34,36.0
M34,M25,36.0
M25,M35,17.7
M35,M25,17.7
M25,M36,2.9
M36,M25,2.9
M25,M37,15.5
M37,M25,15.5
M25,M38,6.6
M38,M25,6.6
M25,M39,44.2
M39,M25,44.2
M25,M40,48.2
M40,M25,48.2
M25,M41,5.7
M41,M25,5.7
M25,M42,22.9
M42,M25,22.9
M25,M43,18.6
M43,M25,18.6
M25,M44,15.0
M44,M25,15.0
M25,M45,37.2
M45,M25,37.2
M25,M46,24.2
M46,M25,24.2
M25,M47,36.1
M47,M25,36.1
M25,M48,16.5
M48,M25,16.5
M25,M49,68.8
M49,M25,68.8
M25,M50,18.0
M50,M25,18.0
M25,M51,5.8
M51,M25,5.8
M25,M52,68.7
M52,M25,68.7
M25,M53,10.9
M53,M25,10.9
M25,M54,49.9
M54,M25,49.9
M25,M55,20.1
M55,M25,20.1
M25,M56,28.9
M56,M25,28.9
M25,M57,15.7
M57,M25,15.7
M25,M58,38.3
M58,M25,38.3
M25,M59,17.6
M59,M25,17.6
M25,M60,74.4
M60,M25,74.4
M26,M27,30.2
M27,M26,30.2
M26,M28,38.5
M28,M26,38.5
M26,M29,16.1
M29,M26,16.1
M26,M30,17.2
M30,M26,17.2
M26,M31,47.8
M31,M26,47.8
M26,M32,29.1
M32,M26,29.1
M26,M33,19.2
M33,M26,19.2
M26,M34,16.2
M34,M26,16.2
M26,M35,50.5
M35,M26,50.5
M26,M36,53.0
M36,M26,53.0
M26,M37,39.3
M37,M26,39.3
M26,M38,46.5
M38,M26,46.5
M26,M39,19.9
M39,M26,19.9
M26,M40,3.9
M40,M26,3.9
M26,M41,51.8
M41,M26,51.8
M26,M42,33.9
M42,M26,33.9
M26,M43,35.6
M43,M26,35.6
M26,M44,38.1
M44,M26,38.1
M26,M45,17.5
M45,M26,17.5
M26,M46,29.1
M46,M26,29.1
M26,M47,31.5
M47,M26,31.5
M26,M48,35.7
M48,M26,35.7
M26,M49,19.9
M49,M26,19.9
M26,M50,51.3
M50,M26,51.3
M26,M51,52.1
M51,M26,52.1
M26,M52,18.7
M52,M26,18.7
M26,M53,47.3
M53,M26,47.3
M26,M54,4.8
M54,M26,4.8
M26,M55,36.1
M55,M26,36.1
M26,M56,31.7
M56,M26,31.7
M26,M57,37.8
M57,M26,37.8
M26,M58,16.6
M58,M26,16.6
M26,M59,50.5
M59,M26,50.5
M26,M60,26.2
M60,M26,26.2
M27,M28,17.4
M28,M27,17.4
M27,M29,17.7
M29,M27,17.7
M27,M30,14.4
M30,M27,14.4
M27,M31,18.9
M31,M27,18.9
M27,M32,4.0
M32,M27,4.0
M27,M33,12.0
M33,M27,12.0
M27,M34,16.6
M34,M27,16.6
M27,M35,22.4
M35,M27,22.4
M27,M36,31.3
M36,M27,31.3
M27,M37,28.2
M37,M27,28.2
M27,M38,25.0
M38,M27,25.0
M27,M39,36.4
M39,M27,36.4
M27,M40,26.4
M40,M27,26.4
M27,M41,28.7
M41,M27,28.7
M27,M42,8.8
M42,M27,8.8
M27,M43,13.5
M43,M27,13.5
M27,M44,17.3
M44,M27,17.3
M27,M45,12.9
M45,M27,12.9
M27,M46,11.2
M46,M27,11.2
M27,M47,5.1
M47,M27,5.1
M27,M48,17.6
M48,M27,17.6
M27,M49,41.3
M49,M27,41.3
M27,M50,23.1
M50,M27,23.1
M27,M51,28.9
M51,M27,28.9
M27,M52,42.0
M52,M27,42.0
M27,M53,33.9
M53,M27,33.9
M27,M54,26.1
M54,M27,26.1
M27,M55,11.5
M55,M27,11.5
M27,M56,2.8
M56,M27,2.8
M27,M57,25.9
M57,M27,25.9
M27,M58,13.8
M58,M27,13.8
M27,M59,22.5
M59,M27,22.5
M27,M60,45.9
M60,M27,45.9
M28,M29,22.4
M29,M28,22.4
M28,M30,21.8
M30,M28,21.8
M28,M31,14.7
M31,M28,14.7
M28,M32,21.4
M32,M28,21.4
M28,M33,20.4
M33,M28,20.4
M28,M34,22.3
M34,M28,22.3
M28,M35,15.0
M35,M28,15.0
M28,M36,15.1
M36,M28,15.1
M28,M37,13.3
M37,M28,13.3
M28,M38,8.4
M38,M28,8.4
M28,M39,35.1
M39,M28,35.1
M28,M40,34.7
M40,M28,34.7
M28,M41,13.3
M41,M28,13.3
M28,M42,8.7
M42,M28,8.7
M28,M43,3.9
M43,M28,3.9
M28,M44,0.5
M44,M28,0.5
M28,M45,22.7
M45,M28,22.7
M28,M46,9.7
M46,M28,9.7
M28,M47,22.2
M47,M28,22.2
M28,M48,3.7
M48,M28,3.7
M28,M49,54.5
M49,M28,54.5
M28,M50,15.8
M50,M28,15.8
M28,M51,13.6
M51,M28,13.6
M28,M52,54.5
M52,M28,54.5
M28,M53,17.0
M53,M28,17.0
M28,M54,36.0
M54,M28,36.0
M28,M55,6.1
M55,M28,6.1
M28,M56,14.8
M56,M28,14.8
M28,M57,11.4
M57,M28,11.4
M28,M58,23.9
M58,M28,23.9
M28,M59,15.0
M59,M28,15.0
M28,M60,59.9
M60,M28,59.9
M29,M30,3.8
M30,M29,3.8
M29,M31,32.8
M31,M29,32.8
M29,M32,18.5
M32,M29,18.5
M29,M33,5.9
M33,M29,5.9
M29,M34,1.3
M34,M29,1.3
M29,M35,35.0
M35,M29,35.0
M29,M36,36.9
M36,M29,36.9
M29,M37,24.4
M37,M29,24.4
M29,M38,30.4
M38,M29,30.4
M29,M39,19.0
M39,M29,19.0
M29,M40,12.4
M40,M29,12.4
M29,M41,35.7
M41,M29,35.7
M29,M42,18.7
M42,M29,18.7
M29,M43,19.7
M43,M29,19.7
M29,M44,22.0
M44,M29,22.0
M29,M45,6.5
M45,M29,6.5
M29,M46,13.3
M46,M29,13.3
M29,M47,21.1
M47,M29,21.1
M29,M48,19.6
M48,M29,19.6
M29,M49,33.5
M49,M29,33.5
M29,M50,35.9
M50,M29,35.9
M29,M51,36.0
M51,M29,36.0
M29,M52,33.1
M52,M29,33.1
M29,M53,32.4
M53,M29,32.4
M29,M54,14.1
M54,M29,14.1
M29,M55,20.5
M55,M29,20.5
M29,M56,18.2
M56,M29,18.2
M29,M57,22.6
M57,M29,22.6
M29,M58,6.7
M58,M29,6.7
M29,M59,35.1
M59,M29,35.1
M29,M60,39.5
M60,M29,39.5
M30,M31,30.7
M31,M30,30.7
M30,M32,14.8
M32,M30,14.8
M30,M33,2.4
M33,M30,2.4
M30,M34,2.5
M34,M30,2.5
M30,M35,33.3
M35,M30,33.3
M30,M36,36.8
M36,M30,36.8
M30,M37,25.9
M37,M30,25.9
M30,M38,30.1
M38,M30,30.1
M30,M39,22.8
M39,M30,22.8
M30,M40,13.3
M40,M30,13.3
M30,M41,35.2
M41,M30,35.2
M30,M42,16.8
M42,M30,16.8
M30,M43,18.6
M43,M30,18.6
M30,M44,21.5
M44,M30,21.5
M30,M45,2.7
M45,M30,2.7
M30,M46,12.2
M46,M30,12.2
M30,M47,17.4
M47,M30,17.4
M30,M48,19.5
M48,M30,19.5
M30,M49,32.9
M49,M30,32.9
M30,M50,34.1
M50,M30,34.1
M30,M51,35.5
M51,M30,35.5
M30,M52,32.7
M52,M30,32.7
M30,M53,33.6
M53,M30,33.6
M30,M54,14.2
M54,M30,14.2
M30,M55,18.9
M55,M30,18.9
M30,M56,15.2
M56,M30,15.2
M30,M57,23.9
M57,M30,23.9
M30,M58,3.3
M58,M30,3.3
M30,M59,33.3
M59,M30,33.3
M30,M60,38.6
M60,M30,38.6
M31,M32,22.0
M32,M31,22.0
M31,M33,28.5
M33,M31,28.5
M31,M34,32.2
M34,M31,32.2
M31,M35,4.1
M35,M31,4.1
M31,M36,18.8
M36,M31,18.8
M31,M37,27.4
M37,M31,27.4
M31,M38,15.5
M38,M31,15.5
M31,M39,48.5
M39,M31,48.5
M31,M40,43.8
M40,M31,43.8
M31,M41,15.4
M41,M31,15.4
M31,M42,14.1
M42,M31,14.1
M31,M43,14.7
M43,M31,14.7
M31,M44,15.2
M44,M31,15.2
M31,M45,30.3
M45,M31,30.3
M31,M46,20.0
M46,M31,20.0
M31,M47,21.0
M47,M31,21.0
M31,M48,18.2
M48,M31,18.2
M31,M49,60.2
M49,M31,60.2
M31,M50,4.6
M50,M31,4.6
M31,M51,15.5
M51,M31,15.5
M31,M52,60.8
M52,M31,60.8
M31,M53,28.6
M53,M31,28.6
M31,M54,44.2
M54,M31,44.2
M31,M55,12.7
M55,M31,12.7
M31,M56,16.6
M56,M31,16.6
M31,M57,25.9
M57,M31,25.9
M31,M58,31.3
M58,M31,31.3
M31,M59,4.2
M59,M31,4.2
M31,M60,64.8
M60,M31,64.8
M32,M33,12.6
M33,M32,12.6
M32,M34,17.3
M34,M32,17.3
M32,M35,25.7
M35,M32,25.7
M32,M36,35.3
M36,M32,35.3
M32,M37,31.8
M37,M32,31.8
M32,M38,29.0
M38,M32,29.0
M32,M39,37.5
M39,M32,37.5
M32,M40,25.4
M40,M32,25.4
M32,M41,32.6
M41,M32,32.6
M32,M42,12.8
M42,M32,12.8
M32,M43,17.5
M43,M32,17.5
M32,M44,21.3
M44,M32,21.3
M32,M45,12.8
M45,M32,12.8
M32,M46,14.6
M46,M32,14.6
M32,M47,2.5
M47,M32,2.5
M32,M48,21.5
M48,M32,21.5
M32,M49,38.5
M49,M32,38.5
M32,M50,26.4
M50,M32,26.4
M32,M51,32.8
M51,M32,32.8
M32,M52,39.3
M52,M32,39.3
M32,M53,37.8
M53,M32,37.8
M32,M54,24.7
M54,M32,24.7
M32,M55,15.5
M55,M32,15.5
M32,M56,6.7
M56,M32,6.7
M32,M57,29.6
M57,M32,29.6
M32,M58,13.3
M58,M32,13.3
M32,M59,25.8
M59,M32,25.8
M32,M60,42.8
M60,M32,42.8
M33,M34,4.7
M34,M33,4.7
M33,M35,31.2
M35,M33,31.2
M33,M36,35.5
M36,M33,35.5
M33,M37,25.7
M37,M33,25.7
M33,M38,28.8
M38,M33,28.8
M33,M39,24.9
M39,M33,24.9
M33,M40,15.3
